"","old_name","new_name2"
"158","Ions_IC_tf_lithium_mdl","na.IC.TF.lithium_mdl"
"159","Ions_IC_tf_sodium","na.IC.TF.sodium"
"160","Ions_IC_tf_sodium_mdl","na.IC.TF.sodium_mdl"
"161","Ions_IC_tf_ammonium","na.IC.TF.ammonium"
"162","Ions_IC_tf_ammonium_mdl","na.IC.TF.ammonium_mdl"
"163","Ions_IC_tf_potassium","na.IC.TF.potassium"
"164","Ions_IC_tf_potassium_mdl","na.IC.TF.potassium_mdl"
"165","Ions_IC_tf_magnesium","na.IC.TF.magnesium"
"166","Ions_IC_tf_magnesium_mdl","na.IC.TF.magnesium_mdl"
"167","Ions_IC_tf_calcium","na.IC.TF.calcium"
"168","Ions_IC_tf_calcium_mdl","na.IC.TF.calcium_mdl"
"169","Ions_IC_tf_acetate","na.IC.TF.acetate"
"170","Ions_IC_tf_acetate_mdl","na.IC.TF.acetate_mdl"
"171","Ions_IC_tf_formate","na.IC.TF.formate"
"172","Ions_IC_tf_formate_mdl","na.IC.TF.formate_mdl"
"173","Ions_IC_tf_propionate","na.IC.TF.propionate"
"174","Ions_IC_tf_propionate_mdl","na.IC.TF.propionate_mdl"
"175","Ions_IC_tf_msa","na.IC.TF.msa"
"176","Ions_IC_tf_msa_mdl","na.IC.TF.msa_mdl"
"177","Ions_IC_tf_nitrite","na.IC.TF.nitrite"
"178","Ions_IC_tf_nitrite_mdl","na.IC.TF.nitrite_mdl"
"179","Ions_IC_tf_bromide","na.IC.TF.bromide"
"180","Ions_IC_tf_bromide_mdl","na.IC.TF.bromide_mdl"
"181","Ions_IC_tf_phosphate","na.IC.TF.phosphate"
"182","Ions_IC_tf_phosphate_mdl","na.IC.TF.phosphate_mdl"
"183","Ions_IC_tf_strontium","na.IC.TF.strontium"
"184","Ions_IC_tf_strontium_mdl","na.IC.TF.strontium_mdl"
"185","Ions_IC_tf_barium","na.IC.TF.barium"
"186","Ions_IC_tf_barium_mdl","na.IC.TF.barium_mdl"
"187","Ions_IC_dich_tf_fluoride","dich.IC.TF.fluoride"
"188","Ions_IC_dich_tf_fluoride_mdl","dich.IC.TF.fluoride_mdl"
"189","Ions_IC_dich_tf_acetate","dich.IC.TF.acetate"
"190","Ions_IC_dich_tf_acetate_mdl","dich.IC.TF.acetate_mdl"
"191","Ions_IC_dich_tf_formate","dich.IC.TF.formate"
"192","Ions_IC_dich_tf_formate_mdl","dich.IC.TF.formate_mdl"
"193","Ions_IC_dich_tf_propionate","dich.IC.TF.propionate"
"194","Ions_IC_dich_tf_propionate_mdl","dich.IC.TF.propionate_mdl"
"195","Ions_IC_dich_tf_msa","dich.IC.TF.msa"
"196","Ions_IC_dich_tf_msa_mdl","dich.IC.TF.msa_mdl"
"197","Ions_IC_dich_tf_chloride","dich.IC.TF.chloride"
"198","Ions_IC_dich_tf_chloride_mdl","dich.IC.TF.chloride_mdl"
"199","Ions_IC_dich_tf_nitrite","dich.IC.TF.nitrite"
"200","Ions_IC_dich_tf_nitrite_mdl","dich.IC.TF.nitrite_mdl"
"201","Ions_IC_dich_tf_sulphate","dich.IC.TF.sulphate"
